
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
05-Aug-2013,17:27,17:52,"Brixton [London Underground] to Camden Town",2.80,,7.75,""
05-Aug-2013,08:35,09:02,"Camden Town to Brixton [London Underground]",2.80,,10.55,""
04-Aug-2013,18:07,18:26,"Old Street to Camden Town",1.40,,13.35,""
04-Aug-2013,14:07,14:26,"Mornington Crescent to Old Street",1.40,,14.75,""
03-Aug-2013,23:59,00:15,"Leicester Square to Camden Town",1.40,,16.15,""
03-Aug-2013,21:53,22:08,"Camden Town to Leicester Square",1.40,,17.55,""
03-Aug-2013,21:52,,"Topped up, Camden Town",,20.00,18.95,""
02-Aug-2013,17:53,18:21,"Brixton [London Underground] to Camden Town",2.80,,-1.05,""
02-Aug-2013,08:30,08:53,"Camden Town to Brixton [London Underground]",2.80,,1.75,""
01-Aug-2013,17:56,18:20,"Brixton [London Underground] to Camden Town",2.80,,4.55,""
01-Aug-2013,09:29,09:53,"Camden Town to Brixton [London Underground]",1.40,,7.35,""
